Dimension,GPU
1000,0.045731
2000,0.022741
3000,0.038659
4000,0.060733
5000,0.089499
6000,0.122686
7000,0.162576
8000,0.204462
9000,0.25276
10000,0.320136
11000,0.372416
12000,0.443022
13000,0.525907
14000,0.609103
15000,0.708521
16000,0.819966
17000,0.926445
18000,1.04785
19000,1.1795
20000,1.32188
21000,1.47836
22000,1.63299
23000,1.81194
24000,1.99442
25000,2.19137
26000,2.40295
27000,2.62015
28000,2.85031
29000,3.10931
30000,3.35284
31000,3.63359
32000,3.92862
33000,4.21734
34000,4.52738
35000,4.8572
36000,5.19225
37000,5.57192
38000,5.92705
39000,6.34919
40000,6.72098
41000,7.16272
42000,7.5967
43000,8.05265
44000,8.53193
45000,9.04439
46000,9.5187
47000,10.0788
48000,10.6649
49000,11.1995
50000,11.7814
51000,12.3833
52000,13.0079
53000,13.7041
Dimension,GPU
10000,0.340633
Dimension,GPU
10000,0.337696
11000,0.372428
12000,0.442917
13000,0.525901
14000,0.609201
15000,0.708693
16000,0.81561
17000,0.925761
18000,1.04738
19000,1.17873
20000,1.32075
Dimension,GPU
10000,0.068178
11000,0.081933
12000,0.096694
13000,0.112986
14000,0.130243
15000,0.149003
16000,0.168835
17000,0.192953
18000,0.212303
19000,0.235925
20000,0.26121
Dimension,GPU
10000,0.303799
Dimension,GPU
10000,0.068388
11000,0.082086
12000,0.096787
13000,0.113087
14000,0.130207
15000,0.149108
16000,0.168732
17000,0.190443
18000,0.212577
19000,0.236274
20000,0.261698
Dimension,GPU
10000,0.068297
11000,0.082087
12000,0.096838
13000,0.113152
14000,0.130502
15000,0.14934
16000,0.169203
17000,0.190647
18000,0.212647
19000,0.236333
20000,0.261673
