Dimension,GPU,CPU
1000,0.050556,0.060717
2000,0.016455,0.058014
3000,0.027876,0.119326
4000,0.043884,0.209981
5000,0.065759,0.332241
6000,0.090228,0.479295
7000,0.119758,0.643001
8000,0.157865,0.942412
9000,0.205671,1.17179
10000,0.261802,1.31888
11000,0.340299,1.69724
12000,0.395753,2.04197
13000,0.485725,2.3449
14000,0.574273,2.94181
15000,0.685114,3.37818
16000,0.799577,3.85541
17000,0.929348,4.52325
18000,1.07773,5.10384
19000,1.23915,5.91868
20000,1.40927,6.77548
21000,1.60686,7.75846
22000,1.79165,8.61303
23000,2.02666,9.3925
24000,2.25536,10.5578
25000,2.52872,11.5911
26000,2.84018,12.9922
27000,3.09013,14.4992
28000,3.40325,15.5764
29000,3.74785,16.9178
30000,4.11547,18.2735
31000,4.50008,21.6257
32000,4.83506,21.8069
33000,5.28139,23.8239
34000,5.70983,25.3541
35000,6.26954,27.7665
36000,6.73189,29.9217
37000,7.28447,32.6007
38000,7.72858,34.6615
39000,8.3813,36.4838
